Reaction,Dataset,Reference,wB97M-V,MACE-MP-0b3
BH28_BHDIV_1,BH28,56.95506721802172,56.86413080407168,46.79824576287076
BH28_BHDIV_2,BH28,50.09560239717492,50.716834266458974,-3.8633041540744726
BH28_BHDIV_3,BH28,65.55927318575337,63.82705380218044,37.9506007199877
BH28_BHPERI_4,BH28,35.014340274654955,36.69054973135369,17.637454013601605
BH28_BHPERI_5,BH28,30.99904394721036,30.47714864744629,-1.11724765425004
BH28_BHPERI_6,BH28,39.86615693177946,39.48993939968487,24.300708796025766
BH28_BHPERI_7,BH28,28.48948358568012,26.576102969945712,22.97866027380067
BH28_BHPERI_8,BH28,37.11759076176924,38.33297934906968,29.75319967416227
BH28_BHPERI_9,BH28,22.44263851366524,22.574181442194345,-4.026492718824987
BH28_CADBH_10,BH28,27.5573615601177,27.89880283090504,20.805772624973912
BH28_CADBH_11,BH28,20.100382218070973,20.83236794076061,11.459871862190411
BH28_CADBH_12,BH28,13.8862330801201,15.532499165234295,3.426794934906389
BH28_CADBH_13,BH28,11.63957910791783,14.350360485203048,6.062079062079742
BH28_CADBH_14,BH28,6.668260174062819,7.666197715052473,-5.346014179516036
BH28_CADBH_15,BH28,4.947418980516489,6.534567523606747,-5.186488142361561
BH28_CADBH_16,BH28,13.264818605581643,13.051730632666064,0.8058277847609155
BH28_CADBH_17,BH28,6.21414913795087,6.04798437820592,1.2241932785371958
BH28_CADBH_18,BH28,0.7170174254399184,0.1653372629932537,0.9000982025472009
BH28_CRBH_19,BH28,46.15200781227431,46.343961140616535,47.24292531935295
BH28_CRBH_20,BH28,49.88049716954295,50.2376782605027,46.21674405576486
BH28_CRBH_21,BH28,42.94933060615216,43.13554630161521,26.426652782531132
BH28_CRBH_22,BH28,44.88527702733047,47.43116447710047,41.6421184175015
BH28_CRBH_23,BH28,50.88432093764936,51.74303646565741,38.60457212637915
BH28_CRBH_24,BH28,42.710324797672186,42.60602061211368,20.172923061994418
BH28_PXBH_25,BH28,48.44646294617259,48.229959062682624,26.236484289707885
BH28_PXBH_26,BH28,26.6730400687418,25.41886813290576,11.382494493314045
BH28_PXBH_27,BH28,14.459847020472036,12.289895037312052,10.022616233447302
BH28_PXBH_28,BH28,14.388145277928045,11.915989940390316,9.654996878694876
BH76_3,BH46,42.100031673542496,37.342640132030425,-30.866593683488464
BH76_7,BH46,30.50002331305889,28.24913860922289,-0.4449981833523755
BH76_8,BH46,56.90004279476982,52.76099538668453,9.337704504927302
BH76_9,BH46,1.5000011568309202,-0.4977852562571784,-32.613930200225646
BH76_10,BH46,104.8000792760636,101.83145080456572,74.23224537790753
BH76_13,BH46,-0.6000007137361577,-1.0805197330599894,-35.68419522166473
BH76_15,BH46,13.400009874182606,12.445815328361196,-7.75761026985673
BH76_17,BH46,2.5000021372213586,2.877951971965673,-7.539612448666217
BH76_21,BH46,-12.300008984005968,-12.533766303274666,-33.23106022397943
BH76_22,BH46,19.80001476816057,20.18435108056157,-8.276084823100515
BH76_27,BH46,11.000008274256924,10.573961344338386,8.565308571744046
BH76_28,BH46,47.70003603421189,47.12074677266841,32.498738436110386
BH76_31,BH46,3.200002133234244,3.3612912071049137,-11.946115146406765
BH76_32,BH46,22.80001708182241,22.8620540489482,37.92264378485879
BH76_35,BH46,6.400004893977961,6.051155183602156,-14.967717433985818
BH76_36,BH46,33.00002482277077,33.66816271148443,33.58319432717385
BH76_39,BH46,6.100004537109882,4.873631020007609,-38.614155676387014
BH76_40,BH46,8.000005960595084,5.975475658484788,-25.560962230555436
BH76_41,BH46,5.20000409401512,3.4007113522721326,-3.6180917446788743
BH76_42,BH46,21.600016281859567,19.277367335545524,1.6126892247962703
BH76_43,BH46,11.900008717351689,10.431514246452588,0.9136250930319382
BH76_44,BH46,15.000011568309205,14.423764535453426,-2.9193938049966643
