Reaction,Dataset,Reference,wB97M-V,MACE-OMOL-0-100M,MACE-OMOL-0-4M
ACONF_1,ACONF,0.5980002135328545,0.6047431165816732,0.5776060245668048,0.5807316879226104
ACONF_2,ACONF,0.6140004501024363,0.6101243868401743,0.5805654111342803,0.5961686256975639
ACONF_3,ACONF,0.9610006390681352,0.915982921142278,0.886152387268338,0.9335496349362415
ACONF_4,ACONF,2.813001980354064,2.736278467752163,2.696344276509221,2.7161806624075764
ACONF_5,ACONF,0.5950007182468476,0.5789667216558161,0.5563650802489354,0.5752696322347076
ACONF_6,ACONF,0.6040004591238162,0.6013267667513926,0.5747030697615587,0.6010276882042794
ACONF_7,ACONF,0.9340007889277556,0.8844377061281788,0.8466224029651357,0.8898597049389086
ACONF_8,ACONF,1.178000945311772,1.1469891760894109,1.1169989733311787,1.1420233478924915
ACONF_9,ACONF,1.302001209952346,1.2859139378116289,1.2300944075803988,1.2598789318842771
ACONF_10,ACONF,1.2500007548559422,1.1769580245559417,1.1459355950702013,1.2088512862817475
ACONF_11,ACONF,2.6320018926372497,2.527373661223836,2.4808658684352913,2.5024553754870476
ACONF_12,ACONF,2.7400019207082424,2.656237626286253,2.6144436240140005,2.6315809207152236
ACONF_13,ACONF,3.283002183858686,3.172964632521394,3.129260104090212,3.1499485113187626
ACONF_14,ACONF,3.0830023642862825,2.9685895031329377,2.8966250457321214,2.940248701988895
ACONF_15,ACONF,4.925003714593592,4.795843125786611,4.7245843513233075,4.744791383672935
Amino20x4_1,Amino20x4,1.169000576925329,1.4588851045657931,1.5136215033210207,1.3660996639312046
Amino20x4_2,Amino20x4,3.0490020184532898,2.9305444194841046,2.9306375290292808,2.881647483431957
Amino20x4_3,Amino20x4,3.319002402385508,3.23114078486472,3.270569209733878,3.196868372921612
Amino20x4_4,Amino20x4,5.044003983744856,5.255134817351229,5.2549912001885,5.176668646116941
Amino20x4_5,Amino20x4,1.576001339272223,1.591181295455072,1.5459062377136417,1.5796733439402582
Amino20x4_6,Amino20x4,2.529001860055567,2.4734263579603137,2.254407125615486,2.3519619928589974
Amino20x4_7,Amino20x4,2.800001866579964,2.5505731884584883,2.262365450649402,2.3113419503787926
Amino20x4_8,Amino20x4,6.459004589748031,6.299084741521974,6.3360335866519355,6.226651674962439
Amino20x4_9,Amino20x4,0.3880004029818311,0.0885664361852116,-0.0847522723163404,0.07162359080681824
Amino20x4_10,Amino20x4,4.109002944715449,4.013034469578761,3.8561827314111254,3.935293542377355
Amino20x4_11,Amino20x4,4.760003863446359,4.585815830325219,4.491435470088851,4.552324912187125
Amino20x4_12,Amino20x4,6.532004649393853,6.260259036138749,6.081653590556792,6.2254309719943715
Amino20x4_13,Amino20x4,0.1570003603719157,0.16261029504127,0.27737897780509285,0.15746191019151992
Amino20x4_14,Amino20x4,1.9740017332326745,2.414026248401376,2.5611298763971244,2.4281485014076316
Amino20x4_15,Amino20x4,2.897002281080158,3.144835641833441,3.4455193149215155,3.2536097066548244
Amino20x4_16,Amino20x4,3.113002337222143,3.3466097444395806,3.487048849749371,3.307489510907277
Amino20x4_17,Amino20x4,0.2770002521153576,0.4699766718640809,0.514617245048442,0.4006821812730893
Amino20x4_18,Amino20x4,0.9790007483315464,1.0041622466641278,1.0336804699706603,0.9784142774759104
Amino20x4_19,Amino20x4,0.9920008621056472,1.0377394628803478,1.0573778420988638,0.9708279749820377
Amino20x4_20,Amino20x4,2.373001749785303,2.182435719380304,2.16117201375526,2.2999489440166014
Amino20x4_21,Amino20x4,0.4240006215086533,0.5822146479337824,0.5693362182711247,0.5966637701681681
Amino20x4_22,Amino20x4,3.272002570287888,3.614182294213695,3.7377026087832865,3.6376812730067365
Amino20x4_23,Amino20x4,4.045003253456069,4.324505887855245,4.340111835120459,4.313560649726199
Amino20x4_24,Amino20x4,4.15200303142541,4.290095966598369,4.33543383054306,4.331794882363674
Amino20x4_25,Amino20x4,1.3350013056836876,1.3696141007606093,1.4677519606050442,1.3927488462840922
Amino20x4_26,Amino20x4,1.5450011162347108,1.630842843535821,1.686522544816325,1.7074665215180853
Amino20x4_27,Amino20x4,2.939002117688468,3.1495257731825137,3.213442330202064,3.16833595888085
Amino20x4_28,Amino20x4,5.216003703075228,4.959326537575642,5.071296597245558,4.9250435819629
Amino20x4_29,Amino20x4,1.0910005217901972,0.5526864993616457,0.5078477288728867,0.6141817558470857
Amino20x4_30,Amino20x4,2.62700189714794,2.3913212613539225,2.3724400123249625,2.40101723068016
Amino20x4_31,Amino20x4,2.743002043503723,1.9848737741251004,1.9316851511343198,2.0559859970434515
Amino20x4_32,Amino20x4,4.086002839962728,3.575817368994025,3.5152791485143404,3.573937142084926
Amino20x4_33,Amino20x4,2.769002271051925,2.311057340328439,2.1157452925925577,2.1924084686769576
Amino20x4_34,Amino20x4,2.992002195377049,2.9799163001443616,2.9020350199699787,2.8968919560719577
Amino20x4_35,Amino20x4,7.318005446336135,6.819794424926791,6.706440536523501,6.604201324262055
Amino20x4_36,Amino20x4,7.3700052739230655,7.0196815438168185,6.994437689528148,6.8594856602003
Amino20x4_37,Amino20x4,0.1870003333077762,0.2573678652011853,0.2640245466792245,0.28788592989729933
Amino20x4_38,Amino20x4,0.5950007182468476,0.6676972515987918,0.6730170284353679,0.6085534226158088
Amino20x4_39,Amino20x4,0.9630005117619644,0.7760908535760506,0.7878743786121567,0.831833128686458
Amino20x4_40,Amino20x4,0.995000984901128,0.7534501235040582,0.7842789415245215,0.8183624841992709
Amino20x4_41,Amino20x4,0.3380004480887303,0.2961241680999476,0.29952742100748464,0.2732119145623035
Amino20x4_42,Amino20x4,1.524000884175819,1.381138625977968,1.3819598608229189,1.3277162593965035
Amino20x4_43,Amino20x4,1.6860012400370448,1.537687367807351,1.5684900019035766,1.5000287675803596
Amino20x4_44,Amino20x4,1.9520012510721307,1.8904467132269456,1.8758892135199376,1.8213252187950537
Amino20x4_45,Amino20x4,0.057981875403144,0.0576433967446218,0.037971482152798545,0.028233851331158497
Amino20x4_46,Amino20x4,0.1990001969802256,0.2024780427232742,0.21027172347141018,0.19463205091363486
Amino20x4_47,Amino20x4,0.4560004671383429,0.4571085233165739,0.4110449893302687,0.43229366943106673
Amino20x4_48,Amino20x4,0.5400001403549627,0.4910192608581141,0.4321754454713138,0.49089672788356087
Amino20x4_49,Amino20x4,1.8140012500652776,2.227681160461892,2.217083004479924,2.1092110673153823
Amino20x4_50,Amino20x4,2.459001923205226,2.613916630291892,2.6325220147398225,2.48679128390256
Amino20x4_51,Amino20x4,2.4660017913883654,2.5234857379992714,2.412751346484655,2.394580842082537
Amino20x4_52,Amino20x4,2.896002030978506,3.0782822379826267,3.0463076847223753,3.0349695227471476
Amino20x4_53,Amino20x4,0.8720009703622054,1.1149131507996108,1.129145215274605,1.0678628750103687
Amino20x4_54,Amino20x4,1.7190013357683862,2.018143071395743,2.0852774358609,1.9858500052406467
Amino20x4_55,Amino20x4,1.84000147761348,2.028244907211983,2.0798964624458636,1.9869553464531993
Amino20x4_56,Amino20x4,1.8890011824049289,1.7424217463693348,1.726011710493916,1.7078925083154013
Amino20x4_57,Amino20x4,1.396000874147586,1.4648096097596282,1.4638132368216688,1.5161766938514716
Amino20x4_58,Amino20x4,3.2110023743145155,2.907318097607184,2.892881305742891,2.93390209205187
Amino20x4_59,Amino20x4,4.187002999850581,3.924360352736597,3.9300227724246124,3.9961760065262277
Amino20x4_60,Amino20x4,6.014004363689959,5.586113183425693,5.610779071353249,5.598256171046073
Amino20x4_61,Amino20x4,3.026002541210042,2.931200668921852,3.018431553760862,3.0110454510732785
Amino20x4_62,Amino20x4,3.103002346243523,3.0873441023450603,3.1647861089205516,3.141211628602259
Amino20x4_63,Amino20x4,3.513002603876424,3.293040766710516,3.296938156729383,3.43032172137313
Amino20x4_64,Amino20x4,4.183003254462922,3.7807563783645,3.781597606083299,3.89567872033798
Amino20x4_65,Amino20x4,1.339001051071346,1.4010826340682756,1.4316838971239105,1.4101014181690652
Amino20x4_66,Amino20x4,3.080002241490802,3.058657694968588,3.183120504696111,3.234340868268486
Amino20x4_67,Amino20x4,3.506002735693285,3.242510503505428,3.250681069025926,3.2053649102231265
Amino20x4_68,Amino20x4,4.224003468479054,3.959584279292611,3.9970239607696545,3.9683429297289687
Amino20x4_69,Amino20x4,1.2930008415659036,1.4971367642747806,1.5350308560004913,1.4944164316353392
Amino20x4_70,Amino20x4,2.8280019668219945,2.6113430884156665,2.729129557230296,2.728305014973568
Amino20x4_71,Amino20x4,3.244002470045857,3.2497551003876315,3.357721102338063,3.27112881692992
Amino20x4_72,Amino20x4,4.057003117128518,3.841942128861136,3.8368991531385697,3.7513258660474493
Amino20x4_73,Amino20x4,0.0930000416030623,0.082352147098967,0.08519742355805725,0.07541692620061113
Amino20x4_74,Amino20x4,0.9030005658902434,1.1260447923952717,1.1229305448614182,1.0783451226482352
Amino20x4_75,Amino20x4,1.7070014720959368,1.8825713438717768,1.922589802651897,1.8401725530806519
Amino20x4_76,Amino20x4,1.772001413456968,2.068725794365992,2.129343422493814,2.008474445164105
Amino20x4_77,Amino20x4,0.8490008656094842,0.855055641764773,0.8657307223823205,0.8044878301499682
Amino20x4_78,Amino20x4,0.8600004791802819,0.6366829722753539,0.6534385954745804,0.6838158067340872
Amino20x4_79,Amino20x4,1.355001287640928,1.4286122277640214,1.427545054407854,1.3794164420165975
Amino20x4_80,Amino20x4,1.4840009202613382,1.411029537750225,1.4459867624981133,1.426368682215757
BUT14DIOL_1,BUT14DIOL,0.1499998646793024,0.107862917241362,0.08501502282482988,0.06857054100290372
BUT14DIOL_2,BUT14DIOL,0.3000003568680788,0.2592813298438166,0.25527049207959013,0.23481114745390036
BUT14DIOL_3,BUT14DIOL,1.3100007007276633,1.245522470739434,1.1947521633805565,1.146893098614139
BUT14DIOL_4,BUT14DIOL,1.4400012109591993,1.3923215350762637,1.4298753457113031,1.3543078289514399
BUT14DIOL_5,BUT14DIOL,1.7200015858700377,1.634033227193599,1.6359785735374512,1.5995367051928269
BUT14DIOL_6,BUT14DIOL,2.070001270121743,1.8703340305760543,1.8189723275547904,1.8488912286647277
BUT14DIOL_7,BUT14DIOL,1.7700015407631386,1.776528141307507,1.708420545105904,1.7214501522928212
BUT14DIOL_8,BUT14DIOL,2.2500017352463804,2.1935428880799286,2.0988213681123757,2.059124040814739
BUT14DIOL_9,BUT14DIOL,2.030001306207263,2.007490282344996,1.9194695630711924,1.91723918112713
BUT14DIOL_10,BUT14DIOL,2.100001870567078,2.1041278708396467,2.066546456842957,2.0523098267440134
BUT14DIOL_11,BUT14DIOL,2.000001333271402,2.0294143965784466,1.993316786567127,1.9843936171992542
BUT14DIOL_12,BUT14DIOL,2.150001825460179,2.1264263572540685,2.1051829316340602,2.055483484349561
BUT14DIOL_13,BUT14DIOL,2.22000176231052,2.17034794163026,2.1400269595923866,2.0737263098498384
BUT14DIOL_14,BUT14DIOL,2.4200015818829232,2.406721285118377,2.354616808390853,2.353498417122633
BUT14DIOL_15,BUT14DIOL,2.23000175328914,2.244646192890509,2.2227330177946176,2.2017009465370583
BUT14DIOL_16,BUT14DIOL,2.2500017352463804,2.2506236598660427,2.1774746783782133,2.1997019936507507
BUT14DIOL_17,BUT14DIOL,2.58000206505032,2.5595770081663605,2.518120383443341,2.4809643284037137
BUT14DIOL_18,BUT14DIOL,2.59000205602894,2.558426469549682,2.47293107556592,2.4834461031479615
BUT14DIOL_19,BUT14DIOL,2.6300020199434204,2.6208649172450382,2.5543386897439913,2.5669849632436113
BUT14DIOL_20,BUT14DIOL,2.480002155264118,2.493849469568134,2.4805461857591222,2.455608364415057
BUT14DIOL_21,BUT14DIOL,2.7400019207082424,2.70965964136682,2.6682373402192656,2.6172529835367726
BUT14DIOL_22,BUT14DIOL,2.55000209211446,2.5517069725853143,2.52612588060986,2.491592137168465
BUT14DIOL_23,BUT14DIOL,2.530002110157219,2.5324169548583315,2.539563230170878,2.472894617172933
BUT14DIOL_24,BUT14DIOL,2.7200019387510017,2.730600385494561,2.730375322669427,2.6912866035429865
BUT14DIOL_25,BUT14DIOL,2.6900019658151413,2.6888645421387505,2.6812857154943996,2.6402279787973355
BUT14DIOL_26,BUT14DIOL,2.4900021462427384,2.516340475900668,2.511754768481079,2.468763406693902
BUT14DIOL_27,BUT14DIOL,2.7200019387510017,2.7165461813201874,2.7083962988536046,2.671436945123621
BUT14DIOL_28,BUT14DIOL,2.830001839515824,2.82027105010904,2.7890179080978563,2.774449870075771
BUT14DIOL_29,BUT14DIOL,2.850002448982538,2.8113691379392693,2.785086600860587,2.758142606605298
BUT14DIOL_30,BUT14DIOL,2.850002448982538,2.811370079229196,2.7850823630499675,2.7581313216748518
BUT14DIOL_31,BUT14DIOL,2.520002119178599,2.52789028978202,2.502771471179602,2.478972061516439
BUT14DIOL_32,BUT14DIOL,2.6300020199434204,2.6527383824643107,2.6463786119524113,2.617928311008417
BUT14DIOL_33,BUT14DIOL,3.100002223448042,3.0621504754613618,3.016724780441687,3.0130227347823615
BUT14DIOL_34,BUT14DIOL,2.7200019387510017,2.7246403632905376,2.7163454191873493,2.6762955078750634
BUT14DIOL_35,BUT14DIOL,2.830001839515824,2.8132007753486303,2.7800415509516316,2.788531495963471
BUT14DIOL_36,BUT14DIOL,2.7900018756013427,2.7997715078565606,2.790394407821747,2.7623632325477616
BUT14DIOL_37,BUT14DIOL,2.7900018756013427,2.770758042555275,2.7229979930065475,2.6939031701368172
BUT14DIOL_38,BUT14DIOL,3.060002259533561,3.045828640290187,2.9693991816939693,2.9275402664460035
BUT14DIOL_39,BUT14DIOL,3.100002223448042,3.0855213128255894,3.010324318560193,3.0120572406910453
