Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
3B-69_1,3B-69,-1.386000255659492,-1.397268819759973,-1.5431349657792757,-1.6058689704502216,-1.489190486367699,-1.423210312441001,-1.468475143634937,-1.3446726699498288,-1.4130627940115268,-1.4535362138032915,-1.453080390919289,-1.365844965139474,-1.4722009183534006,-1.4663126832123967,-1.4385794627412365,-1.4466910894830973,-1.4190047521095825
3B-69_2,3B-69,1.0840000260975837,1.1002620596265462,1.1178006356950283,0.9306729806981491,1.1478591552516428,1.2486873775216039,1.2042500430804997,1.2724676020604522,1.179469442919985,1.2455934421058361,1.237041742936749,1.2702309072888553,1.0509199229289674,1.2157404946119694,1.1419404858306335,1.1439781346653048,1.116971510509553
3B-69_3,3B-69,-2.4159999539668426,-2.424597524041611,-2.574767757558521,-3.2362996657382963,-2.422810753548867,-2.6678502538544353,-2.6035064991603503,-2.7447864922136547,-2.7662058378245358,-2.7934980446142132,-2.461407355298905,-2.5641425161391793,-2.862051258364929,-2.524396819667479,-2.580993592757621,-2.494653999474545,-2.408425768433823
3B-69_4,3B-69,-0.17799996492133366,-0.18215269714195959,-0.18854588915281792,-0.2073835352970762,-0.19838511223132027,-0.1905683521833918,-0.21412794444870384,-0.19484395074183125,-0.18978277311594102,-0.19774963338006185,-0.1852892404534267,-0.1859336299020549,-0.19103798030817679,-0.19167841642115366,-0.19130078116835442,-0.19485386539011237,-0.18263981022026646
3B-69_5,3B-69,0.1810000877168145,0.14482033863215707,0.15765453905141427,-0.37412365852864826,0.19932850992114684,0.11172806181328432,0.10986153496791207,0.05115061906673834,0.09383594701831452,-0.024417272111531784,0.2578267628562273,0.21363277661598656,-0.08391991676491474,0.154326228757468,0.12229983952356295,0.13983490140493798,0.19750700239154292
3B-69_6,3B-69,-0.0930000416030623,-0.11839459703162308,-0.12055084507975983,-0.5654734482322249,-0.11009898451012093,-0.16798428623831568,-0.2156967180228837,-0.20132794339781915,-0.17044970814853125,-0.23790415280174174,-0.0422505267336714,-0.0343338043814698,-0.3304619257457292,-0.19627624118249143,-0.16243465513498023,-0.14853801862821733,-0.08260092761173041
3B-69_7,3B-69,-1.3080002005243598,-1.3321084870300828,-1.4704901392675969,-1.5808526778053817,-1.3995383333009574,-1.3692821482280537,-1.4032733324217144,-1.2774670328114082,-1.293326267982324,-1.4172802224469399,-1.3584320074124356,-1.2652115217728725,-1.3742997767218226,-1.3831890759846759,-1.369264264183155,-1.3787975764000677,-1.3281642348318918
3B-69_8,3B-69,0.047000020350462156,0.020792087128839728,0.02152250820816343,-0.1271910875296892,0.03393690457396148,-0.0030057703396289626,-0.04828239867252514,0.021511464058341066,0.09026384926795147,-0.09256687175297183,0.08150162075656349,0.0951256044266779,0.01102038416896605,0.01176090805468081,0.016580871121334807,0.0023930700696727933,0.04864640821056398
3B-69_9,3B-69,0.02299997925082637,-0.01842355271618787,-0.03105594589354086,-0.38673427710427083,-0.005740080176474978,-0.02607929370605233,-0.07270149065643013,-0.02730764351286976,-0.02277501710609344,-0.11616850713646028,0.05392854074318574,0.05046387262367053,-0.15951642236865213,-0.025401771843626846,-0.027430384327105567,-0.03330669689635449,0.015170490221197461
3B-69_10,3B-69,0.2540001473626365,0.13258748079563343,0.21806431137746252,-0.6874323618113731,0.2496560876050774,0.08931342345359905,0.0634568327947161,-0.11958128016132819,-0.19010512471596458,-0.3419144755457743,0.3322562263081979,0.07551825517587976,-0.29737604945936996,0.1587432678538247,0.09342078672484336,0.12010223856756773,0.2453420634509326
