Dataset,Datatype,wB97M-V,MACE-MP-0b3
BH28,Barrier Height,0.8384106060722647,11.348352158876239
BH46,Barrier Height,1.0803362811026826,16.18151493927866
BH876,Barrier Height,0.8482688006591642,7.382715794636177
BHDIV7,Barrier Height,1.2740121364530268,16.34836878736459
BHPERI11,Barrier Height,1.2119100569926404,16.008540790471677
BHROT27,Barrier Height,0.735467973059498,7.898028821572657
CRBH14,Barrier Height,1.3216114838153898,14.298060083608469
DBH22,Barrier Height,0.9736130445095039,16.409587185294864
INV23,Barrier Height,0.9405961158171395,8.303590687527207
ORBH35,Barrier Height,0.9694827994126672,8.844861038557562
PX9,Barrier Height,1.5839662390173552,15.100384039030462
WCPT26,Barrier Height,0.9612580015019109,11.712484558814873
