Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
3B-69_1,3B-69,-1.386000255659492,-1.397268819759973,-1.5431349657792757,-1.6058689704502216,-1.489190486367699,-1.423210312441001,-1.468475143634937,-1.3446726699498288,-1.4130627940115268,-1.4535362138032917,-1.453080390919289,-1.365844965139474,-1.4722009183534006,-1.4663126832123967,-1.4385794627412365,-1.446691089483097,-1.4190047521095823
3B-69_2,3B-69,1.0840000260975835,1.1002620596265462,1.1178006356950283,0.9306729806981492,1.1478591552516428,1.248687377521604,1.2042500430804997,1.2724676020604522,1.179469442919985,1.245593442105836,1.237041742936749,1.2702309072888551,1.0509199229289674,1.2157404946119694,1.1419404858306337,1.1439781346653048,1.116971510509553
3B-69_3,3B-69,-2.415999953966842,-2.424597524041611,-2.574767757558521,-3.2362996657382963,-2.422810753548867,-2.6678502538544357,-2.6035064991603503,-2.7447864922136547,-2.766205837824536,-2.793498044614213,-2.461407355298905,-2.5641425161391798,-2.862051258364929,-2.524396819667479,-2.580993592757621,-2.494653999474545,-2.408425768433823
3B-69_4,3B-69,-0.1779999649213336,-0.1821526971419595,-0.1885458891528179,-0.2073835352970762,-0.1983851122313202,-0.1905683521833918,-0.2141279444487038,-0.1948439507418312,-0.189782773115941,-0.1977496333800618,-0.1852892404534267,-0.1859336299020549,-0.1910379803081767,-0.1916784164211536,-0.1913007811683544,-0.1948538653901123,-0.1826398102202664
3B-69_5,3B-69,0.1810000877168145,0.144820338632157,0.1576545390514142,-0.3741236585286482,0.1993285099211468,0.1117280618132843,0.109861534967912,0.0511506190667383,0.0938359470183145,-0.0244172721115317,0.2578267628562273,0.2136327766159865,-0.0839199167649147,0.154326228757468,0.1222998395235629,0.1398349014049379,0.1975070023915429
3B-69_6,3B-69,-0.0930000416030623,-0.118394597031623,-0.1205508450797598,-0.5654734482322249,-0.1100989845101209,-0.1679842862383156,-0.2156967180228837,-0.2013279433978191,-0.1704497081485312,-0.2379041528017417,-0.0422505267336714,-0.0343338043814698,-0.3304619257457292,-0.1962762411824914,-0.1624346551349802,-0.1485380186282173,-0.0826009276117304
3B-69_7,3B-69,-1.3080002005243598,-1.3321084870300828,-1.4704901392675969,-1.5808526778053815,-1.3995383333009574,-1.3692821482280535,-1.4032733324217144,-1.2774670328114082,-1.293326267982324,-1.41728022244694,-1.3584320074124356,-1.2652115217728723,-1.3742997767218226,-1.383189075984676,-1.369264264183155,-1.3787975764000675,-1.3281642348318918
3B-69_8,3B-69,0.0470000203504621,0.0207920871288397,0.0215225082081634,-0.1271910875296892,0.0339369045739614,-0.0030057703396289,-0.0482823986725251,0.021511464058341,0.0902638492679514,-0.0925668717529718,0.0815016207565634,0.0951256044266779,0.011020384168966,0.0117609080546808,0.0165808711213348,0.0023930700696727,0.0486464082105639
3B-69_9,3B-69,0.0229999792508263,-0.0184235527161878,-0.0310559458935408,-0.3867342771042708,-0.0057400801764749,-0.0260792937060523,-0.0727014906564301,-0.0273076435128697,-0.0227750171060934,-0.1161685071364602,0.0539285407431857,0.0504638726236705,-0.1595164223686521,-0.0254017718436268,-0.0274303843271055,-0.0333066968963544,0.0151704902211974
3B-69_10,3B-69,0.2540001473626365,0.1325874807956334,0.2180643113774625,-0.6874323618113731,0.2496560876050774,0.089313423453599,0.0634568327947161,-0.1195812801613281,-0.1901051247159645,-0.3419144755457743,0.3322562263081979,0.0755182551758797,-0.2973760494593699,0.1587432678538247,0.0934207867248433,0.1201022385675677,0.2453420634509326
3B-69_11,3B-69,0.3349996977837753,0.3087576907966767,0.3260605742916594,0.0930997528201407,0.3474387553133061,0.3344437243864624,0.2876667836917579,0.3286257702945335,0.3500330677760206,0.2731559408654241,0.4030238583192511,0.4017110457636771,0.251152885868953,0.3312940033905553,0.3165955350755036,0.3127224838679485,0.3562093153587924
3B-69_12,3B-69,-0.1660001012488842,-0.1697616440101425,-0.1737773908326302,-0.1930714246919185,-0.1765180384766748,-0.1820028478448618,-0.1876825616562128,-0.1822320144708877,-0.1884328119250894,-0.1860117548436128,-0.1768994388535108,-0.1739300012206882,-0.1884140493690837,-0.184605191751783,-0.1852294387588163,-0.1827327041644975,-0.1728335751642762
3B-69_13,3B-69,-0.1219997644372711,-0.2177103958888828,-0.1654023358525981,-1.0167105536764671,-0.135560432472884,-0.2832013006415181,-0.2986998433859466,-0.4729265310302614,-0.4836514837634418,-0.4725132534236528,-0.0630520891482293,-0.2124110158564904,-0.6336224204600015,-0.2697590439263114,-0.3056185119340537,-0.2493717001229303,-0.2998240448253347
3B-69_14,3B-69,0.2549997699548141,0.1899397132628795,0.2088293798989103,-0.4403665077935546,0.2533529968184649,0.1974082054547787,0.1697040387359787,0.1126599134794294,0.0935014215885784,-0.0872003481321893,0.3301220039057305,0.2533865685413204,-0.1017553048503324,0.2204890706614771,0.1547742705634767,0.1647329713843861,0.3345228569815799
3B-69_15,3B-69,0.2199998015296435,0.2146745051276765,0.2453831872160994,0.2508883279687265,0.2500143953995037,0.2383029979322531,0.2394270555510726,0.2386655727959148,0.2390680575106586,0.2226688502978885,0.2376173810620661,0.2402560582108404,0.2490950939327956,0.233539636160191,0.2293983247428621,0.2264890651743744,0.3447998056830528
