Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
3B-69,Noncovalent,1.7765170524829266,5.383768505552632,2.1461792723902984,2.296828551226474
3BHET,Noncovalent,1.1103450034501225,4.081422173324049,1.8028961543244,1.3157325473585806
A19Rel6,Noncovalent,0.746888207834004,4.339058655396219,1.2099940102249793,0.9247514077376231
A24,Noncovalent,0.7771432690872337,15.929493936139794,1.1575532402702058,0.976542743370363
ADIM6,Noncovalent,0.9167674417443319,8.453616537820189,1.0967265221599296,0.961969806447616
AHB21,Noncovalent,0.7400590237027974,3.5955545334171677,2.0045775406350517,1.0024433688600873
Bauza30,Noncovalent,0.7808775203770137,6.826568156936755,1.5994167666022605,1.3880515309719799
BzDC215,Noncovalent,0.9632863915435409,15.370127328521416,1.3203163979210193,12.197784987913053
CARBHB8,Noncovalent,1.2551270118854227,14.801127118645809,3.055095251853185,2.2443639698414177
CHB6,Noncovalent,1.4553254944635556,0.8539590855653514,0.7403419898131525,1.3190162818563058
CT20,Noncovalent,0.8168029996176244,12.36496916582941,3.0227991301576718,3.1372548501592705
DS14,Noncovalent,1.1716017130099652,3.054202068749361,1.1159559559426206,1.1923914500285442
FmH2O10,Noncovalent,0.40794986435208624,0.2778385860105841,1.0491220913566646,2.0389404378212754
H2O16Rel4,Noncovalent,0.14592906130585134,0.975795341228259,1.5887732701373931,0.9389070061188471
H2O20Rel9,Noncovalent,0.7805062971243132,1.8930041830521047,2.2303053543212723,1.45510111478064
HB262,Noncovalent,0.8637699740288921,2.0985512677195572,0.9815371795231997,0.9815804420041548
HB49,Noncovalent,0.7415467542210051,2.0410935275021367,1.0037646092283559,0.8289458169522919
HCP32,Noncovalent,0.8786470060229522,8.453017239806348,1.7981377089825414,1.2588078674567587
HEAVY28,Noncovalent,0.9455152408386452,6.256234331698859,3.271316062325355,3.130882200390287
HSG,Noncovalent,0.6874702509780409,2.1631141748599,0.9899997982965361,0.9346509517581574
HW30,Noncovalent,1.0061058442396569,6.434318432155015,1.0952607515810937,1.1937308644073052
HW6Cl5,Noncovalent,0.5606136650784057,4.977748132903145,0.8821765802403211,1.3938190523369867
HW6F,Noncovalent,0.2727809234274808,2.2357780211620057,1.7047424173889636,1.153962007826493
He3,Noncovalent,1.038439345680975,63.70583142227873,49.06480165218692,80.74339363798249
IHB100,Noncovalent,0.8117852125892416,3.4194908647414697,1.2866621258776327,1.1789738996732424
IHB100x2,Noncovalent,0.8617030069918791,2.752582393002901,1.280039680024169,1.2346867619035478
IL16,Noncovalent,2.12783237189849,4.8568304410438286,3.4865660439356976,2.6436008223354066
NBC10,Noncovalent,0.665657849465714,2.4802675127517237,1.448446062403159,1.053244124585836
NC11,Noncovalent,0.8334983089222496,87.73947159071926,12.664972222470007,21.104583251392192
O24,Noncovalent,0.9122362485516142,52.742491082250005,23.493008546319714,44.58594825225027
O24x4,Noncovalent,0.8586849099268214,82.31226293373709,46.43629850794269,54.5820833233048
PNICO23,Noncovalent,1.0593236133542334,17.534496046512338,4.9374847768295,3.373652882306499
RG10N,Noncovalent,0.8731266986616927,135.06154218378484,33.58882809090405,5645.991394581067
RG18,Noncovalent,0.8512391494539966,79.27459409081025,27.481865773639857,207.3277417275655
S22,Noncovalent,0.9179496986302911,2.5602891607012137,0.9427839824134512,0.9633927359438321
S66,Noncovalent,0.721848603024062,1.9184450725928102,0.7929663508089919,0.6907299698169542
S66Rel7,Noncovalent,0.5784289797813749,1.4894586147200222,0.7977412016819402,0.7469972475311231
SW49Bind22,Noncovalent,0.972147714731002,2.8072560199465904,1.2833409413981611,1.873399141903066
SW49Rel28,Noncovalent,1.000542839756344,6.871327860360804,2.754649629217163,3.5321084167334122
Shields38,Noncovalent,0.6934431818699743,1.4215904243855837,2.3200891433613235,2.1745829324363997
TA13,Noncovalent,1.2279167753617803,5.493747077931166,3.020820571798863,4.105099682068244
WATER27,Noncovalent,0.43503900374695087,1.0089418015475793,1.7388710736595365,1.7157313212130108
X40,Noncovalent,0.8029588842897424,3.906965013979662,0.993091684255214,1.185380094614631
X40x5,Noncovalent,0.7367081016684429,3.62601681576933,1.1357279906193298,1.1373290484996046
XB25,Noncovalent,1.30164760157501,15.510412499339164,2.816934304165153,1.883207339174515
