Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
BH28,Barrier Height,0.9850912835756124,3.6867916988058185,1.3674113550642537,1.1058770192846463
BH46,Barrier Height,1.4193168480753358,18.39892383835885,2.548473681839534,1.9914658516799428
BH876,Barrier Height,1.368165316460258,6.3101264013077785,2.936821542857299,1.9929964867198706
BHDIV7,Barrier Height,1.4722636962125644,6.861828415951927,1.8715952131898228,2.055053789486691
BHPERI11,Barrier Height,1.3359406075006328,10.706936310153012,3.6059261320305596,2.1566734863879113
BHROT27,Barrier Height,0.22174432900191873,0.5716075958117894,0.25541839814637024,0.2868372521921363
CRBH14,Barrier Height,1.1396804343044435,3.114309077553345,1.939693033542477,0.7585346610377576
DBH22,Barrier Height,1.174704464054866,22.749208984546527,4.241196373575308,2.803269009889054
INV23,Barrier Height,1.0580395608231514,2.607058045692368,2.4115597564242206,2.367413055980887
ORBH35,Barrier Height,2.1969168218617594,4.396724110488433,3.859233231884063,3.621902016459998
PX9,Barrier Height,1.8165338922457357,3.0098469566794535,2.729328331661967,1.697555332253185
WCPT26,Barrier Height,1.2132107697975485,2.100366788210004,1.9655002012860276,1.8045870824545927
