Dataset,Datatype,wB97M-V,MACE-MP-0b3
BH28,Barrier Height,1.2851633357426049,17.476370792130684
BH46,Barrier Height,1.8413879085245262,26.088125670120235
BH876,Barrier Height,1.8047710106233512,14.506352159131902
BHDIV7,Barrier Height,1.8529179834477463,23.082807211135826
BHPERI11,Barrier Height,1.6290234234537995,18.186409698362397
BHROT27,Barrier Height,0.2987662495349404,3.056151940660882
CRBH14,Barrier Height,1.3460252949972698,13.319638945409908
DBH22,Barrier Height,1.5248116042279776,25.302361461954874
INV23,Barrier Height,1.428791155746998,12.644134455964753
ORBH35,Barrier Height,3.919254253431618,27.708861714767036
PX9,Barrier Height,2.0299458276869116,19.032817878598443
WCPT26,Barrier Height,1.5606247066546277,16.395313694244344
