Reaction,Dataset,Reference,MACE-OMOL-0-100M,MACE-OMOL-0-4M,wB97M-V
BH28_BHDIV_1,BH28,56.95506721802172,55.97486420458976,53.988749560724216,56.86413080407168
BH28_BHDIV_2,BH28,50.09560239717492,50.648119939678146,51.109007889580354,50.716834266458974
BH28_BHDIV_3,BH28,65.55927318575337,64.39802547884271,64.95965781974616,63.82705380218044
BH28_BHPERI_4,BH28,35.014340274654955,36.77350071022147,36.52795844169048,36.69054973135369
BH28_BHPERI_5,BH28,30.99904394721036,30.95850419404574,32.27903850993987,30.477148647446292
BH28_BHPERI_6,BH28,39.86615693177946,38.30046291800069,38.68264835560431,39.48993939968487
BH28_BHPERI_7,BH28,28.48948358568012,26.751237589116943,27.158556139031187,26.576102969945712
BH28_BHPERI_8,BH28,37.11759076176924,38.8746978154487,39.33926877688527,38.33297934906968
BH28_BHPERI_9,BH28,22.442638513665234,22.031013846035314,22.597458382597853,22.574181442194345
BH28_CADBH_10,BH28,27.5573615601177,27.983794475227864,29.636877675370854,27.89880283090504
BH28_CADBH_11,BH28,20.100382218070973,20.698295662559115,22.51004673677838,20.83236794076061
BH28_CADBH_12,BH28,13.886233080120101,15.334270587967922,16.411865341491396,15.532499165234295
BH28_CADBH_13,BH28,11.63957910791783,13.987397251155,14.675529042755263,14.350360485203048
BH28_CADBH_14,BH28,6.668260174062819,7.306884397988463,8.639336456189545,7.666197715052473
BH28_CADBH_15,BH28,4.947418980516489,5.90679762631544,6.760350013986741,6.534567523606747
BH28_CADBH_16,BH28,13.264818605581645,12.818236225212187,12.993007648910103,13.051730632666064
BH28_CADBH_17,BH28,6.21414913795087,5.818830691831086,6.480559131022923,6.04798437820592
BH28_CADBH_18,BH28,0.7170174254399184,-0.3972426275896015,-0.03256981597458414,0.1653372629932537
BH28_CRBH_19,BH28,46.15200781227431,45.89318735151099,44.32246499731958,46.343961140616535
BH28_CRBH_20,BH28,49.88049716954295,50.180555822556684,49.42872944675503,50.2376782605027
BH28_CRBH_21,BH28,42.94933060615216,43.68739539205479,43.35798950650113,43.13554630161521
BH28_CRBH_22,BH28,44.88527702733047,48.184945093707874,49.031777538283905,47.43116447710047
BH28_CRBH_23,BH28,50.884320937649356,52.02017643327661,53.685992887449835,51.74303646565741
BH28_CRBH_24,BH28,42.710324797672186,43.040812863633555,44.29054322722291,42.60602061211368
