Reaction,Dataset,Reference,MACE-OMOL-0-100M,MACE-OMOL-0-4M,wB97M-V,revDSD-PBEP86-D4,wB97M-V_Error,wB97M-V_AbsError,revDSD-PBEP86-D4_Error,revDSD-PBEP86-D4_AbsError,MACE-OMOL-0-100M_Error,MACE-OMOL-0-100M_AbsError,MACE-OMOL-0-4M_Error,MACE-OMOL-0-4M_AbsError
BH28_BHDIV_1,BH28,56.95506721802172,55.97486420458976,53.988749560724216,56.86413080407168,58.05775279076267,-0.09093641395003971,0.09093641395003971,1.1026855727409526,1.1026855727409526,-0.9802030134319608,0.9802030134319608,-2.966317657297502,2.966317657297502
BH28_BHDIV_2,BH28,50.09560239717492,50.648119939678146,51.109007889580354,50.716834266458974,49.119833017656255,0.6212318692840526,0.6212318692840526,-0.9757693795186668,0.9757693795186668,0.5525175425032245,0.5525175425032245,1.0134054924054325,1.0134054924054325
BH28_BHDIV_3,BH28,65.55927318575337,64.39802547884271,64.95965781974616,63.82705380218044,66.06178492556535,-1.7322193835729323,1.7322193835729323,0.5025117398119789,0.5025117398119789,-1.1612477069106575,1.1612477069106575,-0.5996153660072139,0.5996153660072139
BH28_BHPERI_4,BH28,35.014340274654955,36.77350071022147,36.52795844169048,36.69054973135369,40.663668832162806,1.6762094566987358,1.6762094566987358,5.64932855750785,5.64932855750785,1.759160435566514,1.759160435566514,1.5136181670355242,1.5136181670355242
BH28_BHPERI_5,BH28,30.99904394721036,30.95850419404574,32.27903850993987,30.477148647446292,32.78078851955002,-0.5218952997640685,0.5218952997640685,1.7817445723396617,1.7817445723396617,-0.04053975316461944,0.04053975316461944,1.279994562729513,1.279994562729513
BH28_BHPERI_6,BH28,39.86615693177946,38.30046291800069,38.68264835560431,39.48993939968487,39.60976326560543,-0.37621753209458575,0.37621753209458575,-0.25639366617402715,0.25639366617402715,-1.5656940137787672,1.5656940137787672,-1.18350857617515,1.18350857617515
BH28_BHPERI_7,BH28,28.48948358568012,26.751237589116943,27.158556139031187,26.576102969945712,27.955733205639937,-1.9133806157344075,1.9133806157344075,-0.5337503800401819,0.5337503800401819,-1.738245996563176,1.738245996563176,-1.330927446648932,1.330927446648932
BH28_BHPERI_8,BH28,37.11759076176924,38.8746978154487,39.33926877688527,38.33297934906968,36.02840333195978,1.2153885873004384,1.2153885873004384,-1.0891874298094635,1.0891874298094635,1.757107053679455,1.757107053679455,2.2216780151160265,2.2216780151160265
BH28_BHPERI_9,BH28,22.442638513665234,22.031013846035314,22.597458382597853,22.574181442194345,24.86624034205793,0.13154292852911098,0.13154292852911098,2.423601828392698,2.423601828392698,-0.4116246676299191,0.4116246676299191,0.1548198689326199,0.1548198689326199
BH28_CADBH_10,BH28,27.5573615601177,27.983794475227864,29.636877675370854,27.89880283090504,27.712710101567843,0.3414412707873389,0.3414412707873389,0.15534854145014165,0.15534854145014165,0.426432915110162,0.426432915110162,2.0795161152531527,2.0795161152531527
BH28_CADBH_11,BH28,20.100382218070973,20.698295662559115,22.51004673677838,20.83236794076061,19.7029928802818,0.731985722689636,0.731985722689636,-0.3973893377891713,0.3973893377891713,0.5979134444881424,0.5979134444881424,2.409664518707409,2.409664518707409
BH28_CADBH_12,BH28,13.886233080120101,15.334270587967922,16.411865341491396,15.532499165234295,19.578669170911382,1.6462660851141937,1.6462660851141937,5.692436090791281,5.692436090791281,1.44803750784782,1.44803750784782,2.5256322613712943,2.5256322613712943
BH28_CADBH_13,BH28,11.63957910791783,13.987397251155,14.675529042755263,14.350360485203048,23.376470371390543,2.710781377285217,2.710781377285217,11.736891263472712,11.736891263472712,2.34781814323717,2.34781814323717,3.035949934837433,3.035949934837433
BH28_CADBH_14,BH28,6.668260174062819,7.306884397988463,8.639336456189545,7.666197715052473,12.593227570523966,0.9979375409896534,0.9979375409896534,5.924967396461147,5.924967396461147,0.6386242239256434,0.6386242239256434,1.9710762821267256,1.9710762821267256
